ABC,MCMC,SMC
0.38067,0.427193,0.340314
0.22935,0.454963,0.336467
0.456561,0.432418,0.331506
0.786058,0.450737,0.373372
0.261199,0.447187,0.413798
0.739441,0.433307,0.356305
0.311713,0.432752,0.342947
0.410774,0.443647,0.390678
0.318891,0.483066,0.340317
0.259457,0.474547,0.330385
1.692571,0.436099,0.363639
0.232922,0.431876,0.333761
0.250889,0.428103,0.333375
0.24766,0.431001,0.331567
0.271723,0.430248,0.331618
0.410125,0.434692,0.33702
0.381421,0.430276,0.336771
0.464116,0.429751,0.337427
0.217086,0.432468,0.367353
0.210137,0.428087,0.381343
0.452461,0.427252,0.333016
0.44881,0.427558,0.337301
0.512963,0.428121,0.334959
0.221731,0.426731,0.332988
0.7697,0.429313,0.338569
0.356659,0.481221,0.328899
0.51005,0.478361,0.349388
0.502099,0.458162,0.364529
1.617269,0.449707,0.368456
0.236968,0.448062,0.357345
0.243848,0.43796,0.338649
3.612567,0.459149,0.416242
0.28627,0.438445,0.397639
0.214019,0.446941,0.384061
1.492731,0.435244,0.390874
0.232265,0.441986,0.346481
0.323954,0.454174,0.380647
0.218814,0.438873,0.374974
0.335314,0.433253,0.3465
0.247627,0.430697,0.354955
0.418803,0.455103,0.385779
0.271795,0.451015,0.387734
0.282655,0.441968,0.45678
0.232348,0.444606,0.39118
0.257233,0.485304,0.477138
0.476571,0.43506,0.336184
0.249858,0.440221,0.453816
0.606795,0.522744,0.583165
0.173452,0.442456,0.34622
0.378898,0.445721,0.367858
0.384117,0.441903,0.394089
0.479988,0.467683,0.346812
0.242576,0.457003,0.357952
1.845313,0.434867,0.339833
0.256882,0.436699,0.348461
0.253358,0.430547,0.336471
0.265607,0.436243,0.336194
2.039179,0.434275,0.370322
0.218307,0.433715,0.380067
0.533802,0.434872,0.348369
0.2408,0.435,0.331845
0.657356,0.452302,0.367699
0.558751,0.435343,0.386841
0.224038,0.443723,0.341157
0.235797,0.453769,0.346633
0.290679,0.451897,0.4168
0.397667,0.492844,0.40144
0.264247,0.459554,0.382792
0.230766,0.455963,0.384537
0.286197,0.442822,0.386216
0.224866,0.428405,0.348745
0.277992,0.435376,0.369663
0.466396,0.441212,0.353066
0.222125,0.45995,0.393997
0.282287,0.43013,0.474805
0.431298,0.451201,0.350732
0.453549,0.485352,0.356607
0.282847,0.434887,0.383065
1.145512,0.447243,0.376714
0.234893,0.436688,0.458546
0.275782,0.432492,0.341497
0.258535,0.43603,0.39491
0.325315,0.520277,0.384759
0.343557,0.425183,0.327813
0.304448,0.426361,0.327414
0.381741,0.42695,0.345617
0.414712,0.454906,0.346024
0.396502,0.428132,0.332764
0.591137,0.426571,0.351535
0.324738,0.421489,0.339649
0.225271,0.422367,0.332002
0.489134,0.426043,0.329273
1.458284,0.427738,0.337401
0.250804,0.425044,0.338337
0.29635,0.429618,0.330979
0.258266,0.427281,0.337144
1.139189,0.422797,0.326147
0.372337,0.425215,0.364557
0.205027,0.422141,0.337347
0.317889,0.425382,0.33578
1.757246,0.423818,0.337177
